Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
16/07/2022 3:37:50 AM,"951","23.9","46","1009"
16/07/2022 3:38:50 AM,"951","23.9","46","1009"
16/07/2022 3:39:50 AM,"951","23.9","46","1009"
16/07/2022 3:40:50 AM,"951","24.0","46","1009"
16/07/2022 3:41:50 AM,"951","24.0","46","1009"
16/07/2022 3:42:50 AM,"951","24.0","46","1009"
16/07/2022 3:43:50 AM,"951","24.0","46","1009"
16/07/2022 3:44:50 AM,"951","24.0","46","1009"
16/07/2022 3:45:50 AM,"969","24.0","46","1009"
16/07/2022 3:46:50 AM,"969","24.0","46","1009"
16/07/2022 3:47:50 AM,"969","24.0","46","1009"
16/07/2022 3:48:50 AM,"969","24.0","46","1009"
16/07/2022 3:49:50 AM,"969","24.0","46","1009"
16/07/2022 3:50:50 AM,"966","24.0","46","1009"
16/07/2022 3:51:50 AM,"966","24.0","46","1009"
16/07/2022 3:52:50 AM,"966","24.0","46","1009"
16/07/2022 3:53:50 AM,"966","24.0","46","1009"
16/07/2022 3:54:50 AM,"966","24.0","46","1009"
16/07/2022 3:55:50 AM,"1015","24.0","45","1009"
16/07/2022 3:56:50 AM,"1015","24.0","45","1009"
16/07/2022 3:57:50 AM,"1015","24.0","45","1009"
16/07/2022 3:58:50 AM,"1015","24.0","45","1009"
16/07/2022 3:59:50 AM,"1015","24.0","45","1009"
16/07/2022 4:00:50 AM,"1016","23.5","45","1009"
16/07/2022 4:01:50 AM,"1016","23.5","45","1009"
16/07/2022 4:02:50 AM,"1016","23.5","45","1009"
16/07/2022 4:03:50 AM,"1016","23.5","45","1009"
16/07/2022 4:04:50 AM,"1016","23.5","45","1009"
16/07/2022 4:05:50 AM,"1005","23.6","46","1009"
16/07/2022 4:06:50 AM,"1005","23.6","46","1009"
16/07/2022 4:07:50 AM,"1005","23.6","46","1009"
16/07/2022 4:08:50 AM,"1005","23.6","46","1009"
16/07/2022 4:09:50 AM,"1005","23.6","46","1009"
16/07/2022 4:10:50 AM,"1004","23.7","46","1009"
16/07/2022 4:11:50 AM,"1004","23.7","46","1009"
16/07/2022 4:12:49 AM,"1004","23.7","46","1009"
16/07/2022 4:13:49 AM,"1004","23.7","46","1009"
16/07/2022 4:14:49 AM,"1004","23.7","46","1009"
16/07/2022 4:15:49 AM,"972","23.8","46","1009"
16/07/2022 4:16:49 AM,"972","23.8","46","1009"
16/07/2022 4:17:49 AM,"972","23.8","46","1009"
16/07/2022 4:18:49 AM,"972","23.8","46","1009"
16/07/2022 4:19:49 AM,"972","23.8","46","1009"
16/07/2022 4:20:49 AM,"974","23.9","46","1009"
16/07/2022 4:21:49 AM,"974","23.9","46","1009"
16/07/2022 4:22:49 AM,"974","23.9","46","1009"
16/07/2022 4:23:49 AM,"974","23.9","46","1009"
16/07/2022 4:24:49 AM,"974","23.9","46","1009"
16/07/2022 4:25:49 AM,"969","23.9","46","1009"
16/07/2022 4:26:49 AM,"969","23.9","46","1009"
16/07/2022 4:27:49 AM,"969","23.9","46","1009"
16/07/2022 4:28:49 AM,"969","23.9","46","1009"
16/07/2022 4:29:49 AM,"969","23.9","46","1009"
16/07/2022 4:30:49 AM,"946","24.0","46","1009"
16/07/2022 4:31:49 AM,"946","24.0","46","1009"
16/07/2022 4:32:49 AM,"946","24.0","46","1009"
16/07/2022 4:33:49 AM,"946","24.0","46","1009"
16/07/2022 4:34:49 AM,"946","24.0","46","1009"
16/07/2022 4:35:49 AM,"968","24.0","46","1009"
16/07/2022 4:36:49 AM,"968","24.0","46","1009"
16/07/2022 4:37:49 AM,"968","24.0","46","1009"
16/07/2022 4:38:49 AM,"968","24.0","46","1009"
16/07/2022 4:39:49 AM,"968","24.0","46","1009"
16/07/2022 4:40:49 AM,"951","24.1","46","1009"
16/07/2022 4:41:49 AM,"951","24.1","46","1009"
16/07/2022 4:42:49 AM,"951","24.1","46","1009"
16/07/2022 4:43:49 AM,"951","24.1","46","1009"
16/07/2022 4:44:49 AM,"951","24.1","46","1009"
16/07/2022 4:45:49 AM,"961","24.1","46","1009"
16/07/2022 4:46:49 AM,"961","24.1","46","1009"
16/07/2022 4:47:49 AM,"961","24.1","46","1009"
16/07/2022 4:48:49 AM,"961","24.1","46","1009"
16/07/2022 4:49:49 AM,"961","24.1","46","1009"
16/07/2022 4:50:49 AM,"1022","24.1","46","1009"
16/07/2022 4:51:49 AM,"1022","24.1","46","1009"
16/07/2022 4:52:49 AM,"1022","24.1","46","1009"
16/07/2022 4:53:49 AM,"1022","24.1","46","1009"
16/07/2022 4:54:49 AM,"1022","24.1","46","1009"
16/07/2022 4:55:49 AM,"1011","23.6","45","1009"
16/07/2022 4:56:49 AM,"1011","23.6","45","1009"
16/07/2022 4:57:49 AM,"1011","23.6","45","1009"
16/07/2022 4:58:49 AM,"1011","23.6","45","1009"
16/07/2022 4:59:49 AM,"1011","23.6","45","1009"
16/07/2022 5:00:49 AM,"1019","23.6","46","1009"
16/07/2022 5:01:49 AM,"1019","23.6","46","1009"
16/07/2022 5:02:49 AM,"1019","23.6","46","1009"
16/07/2022 5:03:49 AM,"1019","23.6","46","1009"
16/07/2022 5:04:49 AM,"1019","23.6","46","1009"
16/07/2022 5:05:49 AM,"964","23.8","46","1009"
16/07/2022 5:06:49 AM,"964","23.8","46","1009"
16/07/2022 5:07:49 AM,"964","23.8","46","1009"
16/07/2022 5:08:49 AM,"964","23.8","46","1009"
16/07/2022 5:09:49 AM,"964","23.8","46","1009"
16/07/2022 5:10:49 AM,"960","23.8","46","1009"
16/07/2022 5:11:49 AM,"960","23.8","46","1009"
16/07/2022 5:12:49 AM,"960","23.8","46","1009"
16/07/2022 5:13:49 AM,"960","23.8","46","1009"
16/07/2022 5:14:49 AM,"960","23.8","46","1009"
16/07/2022 5:15:49 AM,"947","23.9","46","1009"
16/07/2022 5:16:49 AM,"947","23.9","46","1009"
16/07/2022 5:17:49 AM,"947","23.9","46","1009"
16/07/2022 5:18:49 AM,"947","23.9","46","1009"
16/07/2022 5:19:49 AM,"947","23.9","46","1009"
16/07/2022 5:20:49 AM,"957","24.0","46","1009"
16/07/2022 5:21:49 AM,"957","24.0","46","1009"
16/07/2022 5:22:49 AM,"957","24.0","46","1009"
16/07/2022 5:23:49 AM,"957","24.0","46","1009"
16/07/2022 5:24:49 AM,"957","24.0","46","1009"
16/07/2022 5:25:49 AM,"947","24.0","46","1009"
16/07/2022 5:26:49 AM,"947","24.0","46","1009"
16/07/2022 5:27:49 AM,"947","24.0","46","1009"
16/07/2022 5:28:49 AM,"947","24.0","46","1009"
16/07/2022 5:29:49 AM,"947","24.0","46","1009"
16/07/2022 5:30:49 AM,"948","24.1","46","1009"
16/07/2022 5:31:49 AM,"948","24.1","46","1009"
16/07/2022 5:32:49 AM,"948","24.1","46","1009"
16/07/2022 5:33:49 AM,"948","24.1","46","1009"
16/07/2022 5:34:49 AM,"948","24.1","46","1009"
16/07/2022 5:35:49 AM,"951","24.1","46","1009"
16/07/2022 5:36:49 AM,"951","24.1","46","1009"
16/07/2022 5:37:49 AM,"951","24.1","46","1009"
16/07/2022 5:38:49 AM,"951","24.1","46","1009"
16/07/2022 5:39:49 AM,"951","24.1","46","1009"
16/07/2022 5:40:49 AM,"951","24.1","46","1009"
16/07/2022 5:41:49 AM,"951","24.1","46","1009"
16/07/2022 5:42:49 AM,"951","24.1","46","1009"
16/07/2022 5:43:49 AM,"951","24.1","46","1009"
16/07/2022 5:44:49 AM,"951","24.1","46","1009"
16/07/2022 5:45:49 AM,"978","24.1","46","1010"
16/07/2022 5:46:49 AM,"978","24.1","46","1010"
16/07/2022 5:47:49 AM,"978","24.1","46","1010"
16/07/2022 5:48:49 AM,"978","24.1","46","1010"
16/07/2022 5:49:49 AM,"978","24.1","46","1010"
16/07/2022 5:50:49 AM,"1021","23.9","45","1010"
16/07/2022 5:51:49 AM,"1021","23.9","45","1010"
16/07/2022 5:52:49 AM,"1021","23.9","45","1010"
16/07/2022 5:53:49 AM,"1021","23.9","45","1010"
16/07/2022 5:54:49 AM,"1021","23.9","45","1010"
16/07/2022 5:55:49 AM,"1004","23.6","45","1009"
16/07/2022 5:56:49 AM,"1004","23.6","45","1009"
16/07/2022 5:57:49 AM,"1004","23.6","45","1009"
16/07/2022 5:58:49 AM,"1004","23.6","45","1009"
16/07/2022 5:59:49 AM,"1004","23.6","45","1009"
16/07/2022 6:00:49 AM,"1133","23.8","46","1009"
16/07/2022 6:01:49 AM,"1133","23.8","46","1009"
16/07/2022 6:02:49 AM,"1133","23.8","46","1009"
16/07/2022 6:03:49 AM,"1133","23.8","46","1009"
16/07/2022 6:04:49 AM,"1133","23.8","46","1009"
16/07/2022 6:05:49 AM,"992","23.9","46","1009"
16/07/2022 6:06:49 AM,"992","23.9","46","1009"
16/07/2022 6:07:49 AM,"992","23.9","46","1009"
16/07/2022 6:08:49 AM,"992","23.9","46","1009"
16/07/2022 6:09:49 AM,"992","23.9","46","1009"
16/07/2022 6:10:49 AM,"975","24.0","45","1010"
16/07/2022 6:11:49 AM,"975","24.0","45","1010"
16/07/2022 6:12:49 AM,"975","24.0","45","1010"
16/07/2022 6:13:49 AM,"975","24.0","45","1010"
16/07/2022 6:14:49 AM,"975","24.0","45","1010"
16/07/2022 6:15:49 AM,"980","24.0","46","1009"
16/07/2022 6:16:49 AM,"980","24.0","46","1009"
16/07/2022 6:17:49 AM,"980","24.0","46","1009"
16/07/2022 6:18:49 AM,"980","24.0","46","1009"
16/07/2022 6:19:49 AM,"980","24.0","46","1009"
16/07/2022 6:20:49 AM,"974","24.1","45","1010"
16/07/2022 6:21:49 AM,"974","24.1","45","1010"
16/07/2022 6:22:49 AM,"974","24.1","45","1010"
16/07/2022 6:23:49 AM,"974","24.1","45","1010"
16/07/2022 6:24:49 AM,"974","24.1","45","1010"
16/07/2022 6:25:49 AM,"977","24.1","45","1009"
16/07/2022 6:26:49 AM,"977","24.1","45","1009"
16/07/2022 6:27:49 AM,"977","24.1","45","1009"
16/07/2022 6:28:49 AM,"977","24.1","45","1009"
16/07/2022 6:29:49 AM,"977","24.1","45","1009"
16/07/2022 6:30:49 AM,"977","24.1","46","1009"
16/07/2022 6:31:49 AM,"977","24.1","46","1009"
16/07/2022 6:32:49 AM,"977","24.1","46","1009"
16/07/2022 6:33:49 AM,"977","24.1","46","1009"
16/07/2022 6:34:49 AM,"977","24.1","46","1009"
16/07/2022 6:35:49 AM,"961","24.1","46","1009"
16/07/2022 6:36:49 AM,"961","24.1","46","1009"
16/07/2022 6:37:49 AM,"961","24.1","46","1009"
16/07/2022 6:38:49 AM,"961","24.1","46","1009"
16/07/2022 6:39:49 AM,"961","24.1","46","1009"
16/07/2022 6:40:49 AM,"963","24.2","46","1009"
16/07/2022 6:41:49 AM,"963","24.2","46","1009"
16/07/2022 6:42:49 AM,"963","24.2","46","1009"
16/07/2022 6:43:49 AM,"963","24.2","46","1009"
16/07/2022 6:44:49 AM,"963","24.2","46","1009"
16/07/2022 6:45:49 AM,"1025","24.2","46","1010"
16/07/2022 6:46:49 AM,"1025","24.2","46","1010"
16/07/2022 6:47:49 AM,"1025","24.2","46","1010"
16/07/2022 6:48:49 AM,"1025","24.2","46","1010"
16/07/2022 6:49:49 AM,"1025","24.2","46","1010"
16/07/2022 6:50:49 AM,"990","23.9","45","1010"
16/07/2022 6:51:49 AM,"990","23.9","45","1010"
16/07/2022 6:52:49 AM,"990","23.9","45","1010"
16/07/2022 6:53:49 AM,"990","23.9","45","1010"
16/07/2022 6:54:49 AM,"990","23.9","45","1010"
16/07/2022 6:55:49 AM,"994","23.6","46","1009"
16/07/2022 6:56:49 AM,"994","23.6","46","1009"
16/07/2022 6:57:49 AM,"994","23.6","46","1009"
16/07/2022 6:58:49 AM,"994","23.6","46","1009"
16/07/2022 6:59:49 AM,"994","23.6","46","1009"
16/07/2022 7:00:49 AM,"1033","23.8","48","1010"
16/07/2022 7:01:49 AM,"1033","23.8","48","1010"
16/07/2022 7:02:49 AM,"1033","23.8","48","1010"
16/07/2022 7:03:49 AM,"1033","23.8","48","1010"
16/07/2022 7:04:49 AM,"1033","23.8","48","1010"
16/07/2022 7:05:49 AM,"1087","24.0","48","1009"
16/07/2022 7:06:49 AM,"1087","24.0","48","1009"
16/07/2022 7:07:49 AM,"1087","24.0","48","1009"
16/07/2022 7:08:49 AM,"1087","24.0","48","1009"
16/07/2022 7:09:49 AM,"1087","24.0","48","1009"
16/07/2022 7:10:49 AM,"1061","24.0","48","1010"
16/07/2022 7:11:49 AM,"1061","24.0","48","1010"
16/07/2022 7:12:49 AM,"1061","24.0","48","1010"
16/07/2022 7:13:49 AM,"1061","24.0","48","1010"
16/07/2022 7:14:49 AM,"1061","24.0","48","1010"
16/07/2022 7:15:49 AM,"1021","24.1","48","1009"
16/07/2022 7:16:49 AM,"1021","24.1","48","1009"
16/07/2022 7:17:49 AM,"1021","24.1","48","1009"
16/07/2022 7:18:49 AM,"1021","24.1","48","1009"
16/07/2022 7:19:49 AM,"1021","24.1","48","1009"
16/07/2022 7:20:49 AM,"1027","24.1","49","1010"
16/07/2022 7:21:49 AM,"1027","24.1","49","1010"
16/07/2022 7:22:49 AM,"1027","24.1","49","1010"
16/07/2022 7:23:49 AM,"1027","24.1","49","1010"
16/07/2022 7:24:49 AM,"1027","24.1","49","1010"
16/07/2022 7:25:49 AM,"1028","24.2","49","1010"
16/07/2022 7:26:49 AM,"1028","24.2","49","1010"
16/07/2022 7:27:49 AM,"1028","24.2","49","1010"
16/07/2022 7:28:49 AM,"1028","24.2","49","1010"
16/07/2022 7:29:49 AM,"1028","24.2","49","1010"
16/07/2022 7:30:49 AM,"1008","24.2","49","1009"
16/07/2022 7:31:49 AM,"1008","24.2","49","1009"
16/07/2022 7:32:49 AM,"1008","24.2","49","1009"
16/07/2022 7:33:49 AM,"1008","24.2","49","1009"
16/07/2022 7:34:49 AM,"1008","24.2","49","1009"
16/07/2022 7:35:49 AM,"986","24.2","49","1009"
16/07/2022 7:36:49 AM,"986","24.2","49","1009"
16/07/2022 7:37:49 AM,"986","24.2","49","1009"
16/07/2022 7:38:49 AM,"986","24.2","49","1009"
16/07/2022 7:39:49 AM,"986","24.2","49","1009"
16/07/2022 7:40:49 AM,"949","24.2","49","1009"
16/07/2022 7:41:49 AM,"949","24.2","49","1009"
16/07/2022 7:42:49 AM,"949","24.2","49","1009"
16/07/2022 7:43:49 AM,"949","24.2","49","1009"
16/07/2022 7:44:49 AM,"949","24.2","49","1009"
16/07/2022 7:45:49 AM,"927","23.9","46","1009"
16/07/2022 7:46:49 AM,"927","23.9","46","1009"
16/07/2022 7:47:49 AM,"927","23.9","46","1009"
16/07/2022 7:48:49 AM,"927","23.9","46","1009"
16/07/2022 7:49:49 AM,"927","23.9","46","1009"
16/07/2022 7:50:49 AM,"918","23.6","47","1009"
16/07/2022 7:51:49 AM,"918","23.6","47","1009"
16/07/2022 7:52:49 AM,"918","23.6","47","1009"
16/07/2022 7:53:49 AM,"918","23.6","47","1009"
16/07/2022 7:54:49 AM,"918","23.6","47","1009"
16/07/2022 7:55:49 AM,"911","23.8","47","1009"
16/07/2022 7:56:49 AM,"911","23.8","47","1009"
16/07/2022 7:57:49 AM,"911","23.8","47","1009"
16/07/2022 7:58:49 AM,"911","23.8","47","1009"
16/07/2022 7:59:49 AM,"911","23.8","47","1009"
16/07/2022 8:00:49 AM,"899","23.9","47","1009"
16/07/2022 8:01:49 AM,"899","23.9","47","1009"
16/07/2022 8:02:49 AM,"899","23.9","47","1009"
16/07/2022 8:03:49 AM,"899","23.9","47","1009"
16/07/2022 8:04:49 AM,"899","23.9","47","1009"
16/07/2022 8:05:49 AM,"900","24.0","47","1009"
16/07/2022 8:06:50 AM,"900","24.0","47","1009"
16/07/2022 8:07:50 AM,"900","24.0","47","1009"
16/07/2022 8:08:50 AM,"900","24.0","47","1009"
16/07/2022 8:09:50 AM,"900","24.0","47","1009"
16/07/2022 8:10:50 AM,"886","24.0","47","1009"
16/07/2022 8:11:50 AM,"886","24.0","47","1009"
16/07/2022 8:12:50 AM,"886","24.0","47","1009"
16/07/2022 8:13:50 AM,"886","24.0","47","1009"
16/07/2022 8:14:50 AM,"886","24.0","47","1009"
16/07/2022 8:15:50 AM,"858","24.1","47","1009"
16/07/2022 8:16:50 AM,"858","24.1","47","1009"
16/07/2022 8:17:50 AM,"858","24.1","47","1009"
16/07/2022 8:18:50 AM,"858","24.1","47","1009"
16/07/2022 8:19:50 AM,"858","24.1","47","1009"
16/07/2022 8:20:50 AM,"853","24.1","47","1009"
16/07/2022 8:21:50 AM,"853","24.1","47","1009"
16/07/2022 8:22:50 AM,"853","24.1","47","1009"
16/07/2022 8:23:50 AM,"853","24.1","47","1009"
16/07/2022 8:24:50 AM,"853","24.1","47","1009"
16/07/2022 8:25:50 AM,"856","24.1","47","1009"
16/07/2022 8:26:50 AM,"856","24.1","47","1009"
16/07/2022 8:27:50 AM,"856","24.1","47","1009"
16/07/2022 8:28:50 AM,"856","24.1","47","1009"
16/07/2022 8:29:50 AM,"856","24.1","47","1009"
16/07/2022 8:30:50 AM,"840","24.2","47","1009"
16/07/2022 8:31:50 AM,"840","24.2","47","1009"
16/07/2022 8:32:50 AM,"840","24.2","47","1009"
16/07/2022 8:33:50 AM,"840","24.2","47","1009"
16/07/2022 8:34:50 AM,"840","24.2","47","1009"
16/07/2022 8:35:50 AM,"825","24.2","47","1009"
16/07/2022 8:36:50 AM,"825","24.2","47","1009"
16/07/2022 8:37:50 AM,"825","24.2","47","1009"
16/07/2022 8:38:50 AM,"825","24.2","47","1009"
16/07/2022 8:39:50 AM,"825","24.2","47","1009"
16/07/2022 8:40:50 AM,"812","24.3","47","1009"
16/07/2022 8:41:50 AM,"812","24.3","47","1009"
16/07/2022 8:42:50 AM,"812","24.3","47","1009"
16/07/2022 8:43:50 AM,"812","24.3","47","1009"
16/07/2022 8:44:50 AM,"812","24.3","47","1009"
16/07/2022 8:45:50 AM,"821","24.3","47","1009"
16/07/2022 8:46:50 AM,"821","24.3","47","1009"
16/07/2022 8:47:50 AM,"821","24.3","47","1009"
16/07/2022 8:48:50 AM,"821","24.3","47","1009"
16/07/2022 8:49:50 AM,"821","24.3","47","1009"
16/07/2022 8:50:50 AM,"802","24.4","47","1009"
16/07/2022 8:51:50 AM,"802","24.4","47","1009"
16/07/2022 8:52:50 AM,"802","24.4","47","1009"
16/07/2022 8:53:50 AM,"802","24.4","47","1009"
16/07/2022 8:54:50 AM,"802","24.4","47","1009"
16/07/2022 8:55:50 AM,"782","24.1","45","1009"
16/07/2022 8:56:50 AM,"782","24.1","45","1009"
16/07/2022 8:57:50 AM,"782","24.1","45","1009"
16/07/2022 8:58:50 AM,"782","24.1","45","1009"
16/07/2022 8:59:50 AM,"782","24.1","45","1009"
16/07/2022 9:00:50 AM,"778","23.8","46","1009"
16/07/2022 9:01:50 AM,"778","23.8","46","1009"
16/07/2022 9:02:50 AM,"778","23.8","46","1009"
16/07/2022 9:03:50 AM,"778","23.8","46","1009"
16/07/2022 9:04:50 AM,"778","23.8","46","1009"
16/07/2022 9:05:50 AM,"783","23.9","46","1009"
16/07/2022 9:06:50 AM,"783","23.9","46","1009"
16/07/2022 9:07:50 AM,"783","23.9","46","1009"
16/07/2022 9:08:50 AM,"783","23.9","46","1009"
16/07/2022 9:09:50 AM,"783","23.9","46","1009"
16/07/2022 9:10:50 AM,"771","24.1","46","1009"
16/07/2022 9:11:50 AM,"771","24.1","46","1009"
16/07/2022 9:12:50 AM,"771","24.1","46","1009"
16/07/2022 9:13:50 AM,"771","24.1","46","1009"
16/07/2022 9:14:50 AM,"771","24.1","46","1009"
16/07/2022 9:15:50 AM,"761","24.2","46","1009"
16/07/2022 9:16:50 AM,"761","24.2","46","1009"
16/07/2022 9:17:50 AM,"761","24.2","46","1009"
16/07/2022 9:18:50 AM,"761","24.2","46","1009"
16/07/2022 9:19:50 AM,"761","24.2","46","1009"
16/07/2022 9:20:50 AM,"757","24.3","46","1009"
16/07/2022 9:21:50 AM,"757","24.3","46","1009"
16/07/2022 9:22:50 AM,"757","24.3","46","1009"
16/07/2022 9:23:50 AM,"757","24.3","46","1009"
16/07/2022 9:24:50 AM,"757","24.3","46","1009"
16/07/2022 9:25:50 AM,"727","24.4","46","1009"
16/07/2022 9:26:50 AM,"727","24.4","46","1009"
16/07/2022 9:27:50 AM,"727","24.4","46","1009"
16/07/2022 9:28:50 AM,"727","24.4","46","1009"
16/07/2022 9:29:50 AM,"727","24.4","46","1009"
16/07/2022 9:30:50 AM,"750","24.4","46","1009"
16/07/2022 9:31:50 AM,"750","24.4","46","1009"
16/07/2022 9:32:50 AM,"750","24.4","46","1009"
16/07/2022 9:33:50 AM,"750","24.4","46","1009"
16/07/2022 9:34:50 AM,"750","24.4","46","1009"
16/07/2022 9:35:50 AM,"740","24.5","46","1009"
16/07/2022 9:36:50 AM,"740","24.5","46","1009"
16/07/2022 9:37:50 AM,"740","24.5","46","1009"
16/07/2022 9:38:50 AM,"740","24.5","46","1009"
16/07/2022 9:39:50 AM,"740","24.5","46","1009"
16/07/2022 9:40:50 AM,"741","24.6","46","1009"
16/07/2022 9:41:50 AM,"741","24.6","46","1009"
16/07/2022 9:42:50 AM,"741","24.6","46","1009"
16/07/2022 9:43:50 AM,"741","24.6","46","1009"
16/07/2022 9:44:50 AM,"741","24.6","46","1009"
16/07/2022 9:45:50 AM,"728","24.7","46","1009"
16/07/2022 9:46:50 AM,"728","24.7","46","1009"
16/07/2022 9:47:50 AM,"728","24.7","46","1009"
16/07/2022 9:48:50 AM,"728","24.7","46","1009"
16/07/2022 9:49:50 AM,"728","24.7","46","1009"
16/07/2022 9:50:50 AM,"716","24.7","46","1009"
16/07/2022 9:51:50 AM,"716","24.7","46","1009"
16/07/2022 9:52:50 AM,"716","24.7","46","1009"
16/07/2022 9:53:50 AM,"716","24.7","46","1009"
16/07/2022 9:54:50 AM,"716","24.7","46","1009"
16/07/2022 9:55:50 AM,"707","24.7","46","1009"
16/07/2022 9:56:50 AM,"707","24.7","46","1009"
16/07/2022 9:57:50 AM,"707","24.7","46","1009"
16/07/2022 9:58:50 AM,"707","24.7","46","1009"
16/07/2022 9:59:50 AM,"707","24.7","46","1009"
16/07/2022 10:00:50 AM,"700","24.7","44","1009"
16/07/2022 10:01:50 AM,"700","24.7","44","1009"
16/07/2022 10:02:50 AM,"700","24.7","44","1009"
16/07/2022 10:03:50 AM,"700","24.7","44","1009"
16/07/2022 10:04:50 AM,"700","24.7","44","1009"
16/07/2022 10:05:50 AM,"705","24.2","44","1009"
16/07/2022 10:06:50 AM,"705","24.2","44","1009"
16/07/2022 10:07:50 AM,"705","24.2","44","1009"
16/07/2022 10:08:50 AM,"705","24.2","44","1009"
16/07/2022 10:09:50 AM,"705","24.2","44","1009"
16/07/2022 10:10:50 AM,"708","24.3","44","1009"
